space_id,space_name,function,building,building_number,room_numbers,area_sqft,status,responsible_pi,equipment_category,notes
SPACE-001,Kipnes Research Institute - Translational Research Unit,"Translational research operations, clinical-research integration",Kipnes Health Academy,TBD,TBD,TBD,Existing,TBD,Translational Research,Primary hub for translational research activities
SPACE-002,Kipnes Research Institute - AI Accelerator,"AI-driven trial design, analytics, machine learning infrastructure",Kipnes Health Academy,TBD,TBD,TBD,Existing,TBD,AI/Computational,Houses AI accelerator functions and computational infrastructure
SPACE-003,UAH Clinical Investigation Unit,"Adult clinical trials, interventional studies",University of Alberta Hospital,TBD,TBD,TBD,Existing,TBD,Clinical Trials,Adult patient clinical trials
SPACE-004,Stollery Children's Hospital CIU,"Pediatric clinical trials, rare disease studies in children",Stollery Children's Hospital,TBD,TBD,TBD,Existing,TBD,Clinical Trials,Pediatric clinical trials unit
SPACE-005,Alberta Diabetes Institute Clinical Research Unit,Metabolic and endocrine clinical trials,Alberta Diabetes Institute / Li Ka Shing Centre,TBD,TBD,TBD,Existing,TBD,Clinical Trials,Specialized metabolic/endocrine research
SPACE-006,Li Ka Shing Biorepository,Integrated biobanking - specimen processing storage shipping,Li Ka Shing Center for Health Research Innovation,53087,"B-025, B-025A, B-025A1, B-037, B-017",TBD,Existing (from B-PREPARED),Bruce Ritchie,Biorepository,Basement level - previously approved in CBRF2-2023-00132
SPACE-007,Katz Building Biorepository Support,Biorepository support functions,Katz Building,51510,3-075 suite,TBD,Existing (from B-PREPARED),Bruce Ritchie,Biorepository,Support space for biorepository operations
SPACE-008,Vaccine Challenge Trial Unit,"Controlled Human Infection Model (CHIM) studies, vaccine development",TBD - Requires BSL-2+ containment,TBD,TBD,2000-4000 (est.),New Required,Michael Houghton,Vaccine/Challenge Trials,"Requires: negative pressure isolation rooms, 24/7 monitoring, quarantine areas, decontamination"
SPACE-009,Rare Disease Trial Unit,"Clinical trials for rare/orphan diseases, precision medicine",TBD - Consider Stollery co-location,TBD,TBD,1500-3000 (est.),New Required,Lawrence Richer,Rare Disease,"Requires: family accommodation, specialized diagnostics, genetics coordination"
SPACE-010,iSMART Institute Rehabilitation Innovations,"Neurorehabilitation trials, device validation, motion capture",Katz Group Centre for Pharmacy and Health Research,TBD,TBD,TBD,Existing,Vivian Mushahwar,Neurorehabilitation,"FES systems, exoskeletons, Vicon/OptiTrack motion capture, EMG; Western Canada's only GLP facility"
SPACE-011,Autonomic Function Laboratory - Adult,"Long COVID, POTS, diabetic neuropathy trials",Kaye Edmonton Clinic,TBD,TBD,TBD,Existing,Lawrence Richer,Autonomic Testing,"Tilt table, Finapres, QSART, TCD, NIRS; research-grade autonomic testing"
SPACE-012,Autonomic Function Laboratory - Pediatric,"Pediatric autonomic dysfunction trials",Stollery Hospital,TBD,1D,TBD,Existing,Lawrence Richer,Autonomic Testing,"Pediatric tilt table, QSART; Walter Mackenzie building"
SPACE-013,Alberta Cell Therapy Manufacturing (ACTM),"GMP cell therapy manufacturing",Li Ka Shing Centre for Health Research Innovation,53087,7th-8th floors,TBD,Existing,Greg Korbutt,Biomanufacturing,"cGMP manufacturing; cell therapy products for MS and gene therapy trials"
SPACE-015,Research IP Pharmacy,"Secure investigational product storage, temperature monitoring, dispensing",University of Alberta Hospital,TBD,TBD,TBD,New Required,TBD,Pharmacy,"IP storage (-20°C to 25°C), automated dispensing cabinets; serves UAH/Stollery/ADI clinical units"
SPACE-016,Peter Allen MRI Research Centre,"Research MRI, rawdiomics staging, functional imaging",Peter Allen MRI Research Centre,TBD,TBD,TBD,Existing,TBD,Imaging,"Dedicated research MRI; k-space data staging for rawdiomics; high-bandwidth TRE link"
SPACE-017,Secure Data Centre - CTAP,"TRE servers, inference hardware, network security core",TBD - Campus Data Centre,TBD,TBD,TBD,New Required,TBD,Data/Computational,"CRAIDL inference servers, TRE operational storage, network security infrastructure"
SPACE-018,Device Validation Laboratory,"Wearable sensor validation, reference device testing, calibration",Katz Group Centre for Pharmacy and Health Research,TBD,TBD,TBD,New Required,TBD,Device Validation,"Network analyzers, reference device pool; supports Gupta/Light labs and iSMART validation protocols"
SPACE-019,Clinical Site Equipment - Distributed,"Mobile tablets, telehealth kits, wearable sensors",Multiple Sites,N/A,N/A,N/A,Distributed,Multiple PIs,Clinical Trials,"iPads, telehealth kits, wearables distributed across UAH CIU, Stollery CIU, ADI CRU, rural sites"
SPACE-020,Analysis Workstation Cluster,"High-memory analysis workstations, DGX Spark AI workstations",Li Ka Shing Centre for Health Research Innovation,53087,TBD,TBD,New Required,TBD,AI/Computational,"DGX Spark workstations, HP Z8/Dell Precision analysis workstations, radiomic analysis"
